id,created_at,text
1195421661635309570,2019-11-15 19:21:48,b'RT @RepAndyBiggsAZ: .@RepDevinNunes is exactly right: former Ambassador Yovanovitch should not be a witness at an impeachment hearing where\xe2\x80\xa6'
1195421661501313028,2019-11-15 19:21:48,b'RT @HouseGOP: Why is Chairman Schiff afraid of @RepStefanik?\n\nWhy doesn\xe2\x80\x99t he want Republican members to ask questions?\n\nWhy is he conductin\xe2\x80\xa6'
1195421536645210114,2019-11-15 19:21:18,"b'RT @RepMarkMeadows: One thing to note:\n\nNotice how, so far, the Democrats have been peppering the witness with questions asking her to spec\xe2\x80\xa6'"
1195421536628461572,2019-11-15 19:21:18,b'RT @CongressmanHice: Quick reminder \xe2\x86\x92 Ambassador Marie Yovanovitch is yet another person who wasn\xe2\x80\x99t present on the July 25th call \xe2\x80\x93 and tha\xe2\x80\xa6'
1195421412464451589,2019-11-15 19:20:49,"b""RT @RepDLamborn: This witness has absolutely no relevant information. She can't bring any first-hand knowledge of the events and was recall\xe2\x80\xa6"""
1195421409666879492,2019-11-15 19:20:48,"b'RT @RepSmucker: No matter how hard the media and the Democrats try to spin the hearings, these are the facts... #ImpeachingHearings #FactsM\xe2\x80\xa6'"
1195416069361586177,2019-11-15 18:59:35,"b""RT @WhiteHouse: \xf0\x9f\x9a\xa8 The most important clip you'll see today \xf0\x9f\x9a\xa8\n\n\xe2\x9e\xa1\xef\xb8\x8f The Obama State Department had the same concern about the Biden family's c\xe2\x80\xa6"""
1195390870360612868,2019-11-15 17:19:27,"b'RT @realDonaldTrump: So they now convict Roger Stone of lying and want to jail him for many years to come. Well, what about Crooked Hillary\xe2\x80\xa6'"
1195390870146691073,2019-11-15 17:19:27,b'RT @realDonaldTrump: ....A double standard like never seen before in the history of our Country?'
1195380178907734018,2019-11-15 16:36:58,"b'RT @realDonaldTrump: Stock Market up big. New and Historic Record. Job, jobs, jobs!'"
1195380067590909957,2019-11-15 16:36:31,b'RT @realDonaldTrump: We have vacancies in various departments because we do not want or need as many people as past administrations (and sa\xe2\x80\xa6'
1195365104423985152,2019-11-15 15:37:04,b'RT @realDonaldTrump: https://t.co/qz1OfL56rg'
1195364994952679424,2019-11-15 15:36:38,b'RT @realDonaldTrump: https://t.co/ObHvebm4ry'
1195364994810023936,2019-11-15 15:36:38,b'RT @realDonaldTrump: https://t.co/86HWwzDlEo'
1195363099710251008,2019-11-15 15:29:06,b'RT @realDonaldTrump: https://t.co/XE7ofTy7Sf'
1195362105458929665,2019-11-15 15:25:09,b'RT @realDonaldTrump: https://t.co/0zTfpzHCNK'
1195360552350040064,2019-11-15 15:18:59,"b'RT @realDonaldTrump: Another Record Stock Market, 21 times this year, despite an ongoing, &amp; totally unfounded, Witch Hunt, &amp; a Democrat Par\xe2\x80\xa6'"
1195356744312147971,2019-11-15 15:03:51,b'RT @realDonaldTrump: ....They call it \xe2\x80\x9cserving at the pleasure of the President.\xe2\x80\x9d The U.S. now has a very strong and powerful foreign polic\xe2\x80\xa6'
1195356741770330112,2019-11-15 15:03:50,"b'RT @realDonaldTrump: Everywhere Marie Yovanovitch went turned bad. She started off in Somalia, how did that go? Then fast forward to Ukrain\xe2\x80\xa6'"
1195341482976256002,2019-11-15 14:03:12,"b'RT @realDonaldTrump: ......filth pouring into the Pacific Ocean is rapidly becoming an environmental hazard, is getting NOTHING DONE. She i\xe2\x80\xa6'"
1195341356543152128,2019-11-15 14:02:42,b'RT @realDonaldTrump: The Impeachment Witch Hunt should be over with the statement made last night by the President and Foreign Minister of\xe2\x80\xa6'
1195337517987454982,2019-11-15 13:47:27,"b'RT @realDonaldTrump: ....Ambassador Sondland did not tell us, and certainly did not tell me, about a connection between the assistance and\xe2\x80\xa6'"
1195337411041079297,2019-11-15 13:47:01,b'RT @realDonaldTrump: Democrats must apologize to USA: Ukrainian Foreign Minister Vadym Prystaiko said that \xe2\x80\x9cUnited States Ambassador Gordon\xe2\x80\xa6'
1195141978457083905,2019-11-15 00:50:26,"b'RT @realDonaldTrump: We continue to monitor the terrible events at Saugus High School in Santa Clarita, California through our ongoing comm\xe2\x80\xa6'"
1195141977878212609,2019-11-15 00:50:26,"b'RT @realDonaldTrump: ....We send our deepest condolences to the families and friends of those tragically lost, and we pray for the speedy r\xe2\x80\xa6'"
1195003479686864896,2019-11-14 15:40:06,b'RT @realDonaldTrump: Where\xe2\x80\x99s the Fake Whistleblower?'
1195001097544491008,2019-11-14 15:30:38,"b'RT @realDonaldTrump: ....that the House Democrats have done since she\xe2\x80\x99s become Speaker, other than chase Donald Trump.\xe2\x80\x9d This Impeachment Ho\xe2\x80\xa6'"
1195000981475528705,2019-11-14 15:30:10,"b'RT @realDonaldTrump: ....anywhere, so we\xe2\x80\x99ve now had 3 years of the Democrats chasing Donald Trump. Nancy Pelosi\xe2\x80\x99s worried about the America\xe2\x80\xa6'"
1195000863028330498,2019-11-14 15:29:42,b'RT @realDonaldTrump: .@DanHenninger  WSJ: Nancy Pelosi had it right the first time when she did not want to go down the Impeachment path. M\xe2\x80\xa6'
1194994685477081088,2019-11-14 15:05:09,b'RT @realDonaldTrump: \xe2\x80\x9cThat hearing was about a policy dispute.\xe2\x80\x9d Robert Ray. \xe2\x80\x9cRegular people watching this cannot conclude that the Presiden\xe2\x80\xa6'
1194988328136953856,2019-11-14 14:39:53,b'RT @realDonaldTrump: \xe2\x80\x9cNeither one of the Democrat star witnesses at the Impeachment hearings could point out an impeachable offense. That\xe2\x80\x99s\xe2\x80\xa6'
1194986972797980672,2019-11-14 14:34:30,b'RT @realDonaldTrump: Walmart announces great numbers. No impact from Tariffs (which are contributing $Billions to our Treasury). Inflation\xe2\x80\xa6'
1194975176494063617,2019-11-14 13:47:38,"b'RT @realDonaldTrump: Hit New Stock Market record again yesterday, the 20th time this year, with GREAT potential for the future. USA is wher\xe2\x80\xa6'"
1194974827272126464,2019-11-14 13:46:15,"b'RT @realDonaldTrump: .@RepRatcliffe asked the two \xe2\x80\x9cstar\xe2\x80\x9d witnesses, \xe2\x80\x9cwhere is the impeachable event in that call?\xe2\x80\x9d Both stared straight ahe\xe2\x80\xa6'"
1194974699836649478,2019-11-14 13:45:44,"b'RT @realDonaldTrump: Wow! Was just told that my son\xe2\x80\x99s book, \xe2\x80\x9cTriggered,\xe2\x80\x9d is Number One on The New York Times Bestseller List. Congratulatio\xe2\x80\xa6'"
1194820826941607946,2019-11-14 03:34:18,b'RT @realDonaldTrump: Thank you @FranklinGraham. It is a time of \xe2\x80\x9cshame\xe2\x80\x9d for our Country. The Democrats know what they are doing is wrong! h\xe2\x80\xa6'
1194749789277212674,2019-11-13 22:52:01,b'RT @WhiteHouse: President @realDonaldTrump held a joint press conference with President Erdogan at the White House this afternoon.\n\nTurkey\xe2\x80\xa6'
1194713375240007680,2019-11-13 20:27:20,b'RT @WhiteHouse: President @realDonaldTrump gave an update on relations with Turkey at the top of his meeting with President Erdogan. https:\xe2\x80\xa6'
1194702970669146113,2019-11-13 19:45:59,"b'RT @WhiteHouse: ""They\'re trying to stop me, because I\'m fighting for you. And I\'ll never let that happen."" \xe2\x80\x94 President @realDonaldTrump htt\xe2\x80\xa6'"
1194700579232194560,2019-11-13 19:36:29,b'RT @WhiteHouse: New hoax. Same swamp. https://t.co/6byw3BVxFR'
1194610997820043266,2019-11-13 13:40:31,b'RT @realDonaldTrump: READ THE TRANSCRIPT!'
1194610573486493696,2019-11-13 13:38:50,b'RT @realDonaldTrump: NEVER TRUMPERS!'
1194610448403959810,2019-11-13 13:38:20,"b'RT @realDonaldTrump: ....any laws or did anything wrong, and they have to move away from quid pro quo because there was no quid, and there\xe2\x80\xa6'"
1194610438987747329,2019-11-13 13:38:18,"b'RT @realDonaldTrump: ...the most powerful tool the legislative branch has, Impeachment, &amp; they\xe2\x80\x99ve turned it into a political cudgel, which\xe2\x80\xa6'"
1194610310403035137,2019-11-13 13:37:47,b'RT @realDonaldTrump: \xe2\x80\x9cNancy Pelosi cares more about power than she does about principle. She did not want to go down this road. She realize\xe2\x80\xa6'
1194594132221710338,2019-11-13 12:33:30,b'RT @realDonaldTrump: The Democrats have stacked the deck against President Trump and the Republicans. They have leaked out everything. @Ste\xe2\x80\xa6'
1194594008288387073,2019-11-13 12:33:00,"b'RT @realDonaldTrump: \xe2\x80\x9cMillions of Americans will see what a partisan sham this whole thing is.\xe2\x80\x9d Rush Limbaugh @foxandfriends  Also, why is\xe2\x80\xa6'"
1194460610345476096,2019-11-13 03:42:56,"b'RT @realDonaldTrump: ....to hurt Donald Trump and we, the people that support him. The Left has never accepted the results of the 2016 Elec\xe2\x80\xa6'"
1194460610324512768,2019-11-13 03:42:56,"b'RT @realDonaldTrump: ....This is a phony showtrial. There is zero due process, none. It is yet another fraudulent hoax conspiracy theory. I\xe2\x80\xa6'"
1194460472394887169,2019-11-13 03:42:23,"b'RT @realDonaldTrump: \xe2\x80\x9cThe circus is coming to town. The corrupt, compromised, coward &amp; congenital liar Adam Schiff Show on Capital Hill, br\xe2\x80\xa6'"
1194432278681792513,2019-11-13 01:50:21,"b'RT @realDonaldTrump: \xe2\x80\x9cThis ridiculous Impeachment is a travesty, it\xe2\x80\x99s not an inquiry. Just read the transcript.\xe2\x80\x9d @LouDobbs'"
1194432118870421506,2019-11-13 01:49:43,"b'RT @realDonaldTrump: DACA recipients with arrest records: 53,792! That is a very large proportion of the total. @LouDobbs  Not good, but we\xe2\x80\xa6'"
1194391958711676930,2019-11-12 23:10:08,"b'RT @WhiteHouse: President @realDonaldTrump gave an update on the booming Trump Economy at @EconClubNY today!\n\n""We have delivered on our pro\xe2\x80\xa6'"
1194391958506082305,2019-11-12 23:10:08,"b'RT @WhiteHouse: President @realDonaldTrump says his job is to help America excel, compete, and WIN in the global economy. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/l\xe2\x80\xa6'"
